# BEGIN PLOT
Legend=1
LogY=1
Title=${\rm }K/\pi$ in INEL pp collisions at $\sqrt{s} =  7$~TeV in $|y| < 0.5$.
XLabel=$p_{\rm T}$ (GeV/$c$)
YLabel=$({\rm K}^{+} + {\rm K}^{-})/(\pi^{+} +\pi^{-})$
DrawOnly=/ALICE_2015_I1357424/d02-x01-y01 //afs/cern.ch/user/s/siragoni/RivetTutorial/ALICE_Tutorial_v2/Rivet.yoda/ALICE_2015_I1357424/d02-x01-y01
LegendOnly=/ALICE_2015_I1357424/d02-x01-y01 //afs/cern.ch/user/s/siragoni/RivetTutorial/ALICE_Tutorial_v2/Rivet.yoda/ALICE_2015_I1357424/d02-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2015_I1357424/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2015_I1357424/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2015_I1357424/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.900000e+00	2.000000e+00	2.222222e-01	1.228380e-01	1.228380e-01
2.000000e+00	2.100000e+00	2.142857e-01	1.363305e-01	1.363305e-01
2.100000e+00	2.200000e+00	2.727273e-01	1.776379e-01	1.776379e-01
2.200000e+00	2.300000e+00	2.500000e-01	1.613743e-01	1.613743e-01
2.300000e+00	2.400000e+00	7.500000e-01	5.728220e-01	5.728220e-01
2.400000e+00	2.500000e+00	2.500000e-01	1.976424e-01	1.976424e-01
2.500000e+00	2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.800000e+00	2.857143e-01	2.290811e-01	2.290811e-01
2.800000e+00	2.900000e+00	5.000000e-01	4.330127e-01	4.330127e-01
2.900000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

